time,open,high,low,close,volumn
2024-11-13 04:18:00,3222.16,3222.74,3217.98,3220.91,
2024-11-13 04:19:00,3220.91,3225.43,3220.7,3224.44,
2024-11-13 04:20:00,3224.44,3226.92,3223.82,3226.77,
2024-11-13 04:21:00,3226.77,3230.0,3225.52,3227.91,
2024-11-13 04:22:00,3227.91,3227.98,3224.57,3225.86,
2024-11-13 04:23:00,3225.86,3227.75,3224.47,3225.92,
2024-11-13 04:24:00,3225.92,3228.18,3224.0,3224.57,
2024-11-13 04:25:00,3224.57,3225.89,3211.8,3212.7,
2024-11-13 04:26:00,3212.7,3212.7,3207.33,3208.23,
2024-11-13 04:27:00,3208.23,3209.89,3206.48,3207.84,
2024-11-13 04:28:00,3207.84,3208.3,3204.93,3205.49,
2024-11-13 04:29:00,3205.49,3208.88,3203.76,3204.73,
2024-11-13 04:30:00,3204.73,3205.7,3201.6,3203.73,
2024-11-13 04:31:00,3203.73,3204.73,3191.84,3195.88,
2024-11-13 04:32:00,3195.88,3207.58,3195.88,3205.08,
2024-11-13 04:33:00,3205.08,3207.4,3196.66,3198.68,
2024-11-13 04:34:00,3198.68,3199.21,3192.61,3196.48,
2024-11-13 04:35:00,3196.48,3197.67,3186.0,3187.77,
2024-11-13 04:36:00,3187.77,3190.87,3173.91,3174.65,
2024-11-13 04:37:00,3174.65,3177.14,3170.81,3175.59,
2024-11-13 04:38:00,3175.59,3185.12,3172.03,3185.12,
2024-11-13 04:39:00,3185.12,3192.25,3181.36,3182.47,
2024-11-13 04:40:00,3182.47,3185.43,3178.05,3183.15,
2024-11-13 04:41:00,3183.15,3188.66,3179.96,3182.2,
2024-11-13 04:42:00,3182.2,3186.28,3179.34,3183.42,
2024-11-13 04:43:00,3183.42,3188.72,3180.03,3182.08,
2024-11-13 04:44:00,3182.08,3183.1,3178.14,3178.89,
2024-11-13 04:45:00,3178.89,3182.12,3174.77,3182.12,
2024-11-13 04:46:00,3182.12,3185.96,3172.91,3174.13,
2024-11-13 04:47:00,3174.13,3174.54,3165.8,3167.22,
2024-11-13 04:48:00,3167.22,3168.32,3161.28,3162.45,
2024-11-13 04:49:00,3162.45,3165.42,3159.25,3160.44,
2024-11-13 04:50:00,3160.44,3165.47,3155.38,3155.83,
2024-11-13 04:51:00,3155.83,3156.95,3147.59,3149.9,
2024-11-13 04:52:00,3149.9,3170.88,3149.87,3166.86,
2024-11-13 04:53:00,3166.86,3175.42,3162.42,3173.43,
2024-11-13 04:54:00,3173.43,3174.44,3167.26,3168.31,
2024-11-13 04:55:00,3168.31,3180.5,3167.67,3180.5,
2024-11-13 04:56:00,3180.5,3186.04,3178.67,3184.13,
2024-11-13 04:57:00,3184.13,3188.74,3183.73,3187.56,
2024-11-13 04:58:00,3187.56,3192.83,3184.67,3192.12,
2024-11-13 04:59:00,3192.12,3192.22,3188.15,3188.99,
2024-11-13 05:00:00,3188.99,3189.89,3181.18,3182.06,
2024-11-13 05:01:00,3182.06,3189.33,3176.16,3176.16,
2024-11-13 05:02:00,3176.16,3178.72,3169.7,3171.98,
2024-11-13 05:03:00,3171.98,3176.89,3167.84,3167.93,
2024-11-13 05:04:00,3167.93,3171.27,3163.07,3165.19,
2024-11-13 05:05:00,3165.19,3172.29,3161.67,3172.29,
2024-11-13 05:06:00,3172.29,3177.16,3168.28,3168.58,
2024-11-13 05:07:00,3168.58,3170.99,3165.26,3170.61,
2024-11-13 05:08:00,3170.61,3173.19,3166.58,3172.52,
2024-11-13 05:09:00,3172.52,3174.81,3164.01,3165.27,
2024-11-13 05:10:00,3165.27,3170.34,3162.0,3163.23,
2024-11-13 05:11:00,3163.23,3167.03,3159.52,3166.58,
2024-11-13 05:12:00,3166.58,3170.89,3163.07,3163.83,
2024-11-13 05:13:00,3163.83,3165.56,3155.06,3162.46,
2024-11-13 05:14:00,3162.46,3166.88,3158.85,3165.06,
2024-11-13 05:15:00,3165.06,3172.1,3162.65,3171.5,
2024-11-13 05:16:00,3171.5,3174.03,3168.47,3170.52,
2024-11-13 05:17:00,3170.52,3175.0,3168.73,3172.38,
2024-11-13 05:18:00,3172.38,3175.41,3170.5,3173.39,
2024-11-13 05:19:00,3173.39,3177.45,3173.18,3175.74,
2024-11-13 05:20:00,3175.74,3177.33,3170.24,3175.42,
2024-11-13 05:21:00,3175.42,3177.69,3171.6,3176.87,
2024-11-13 05:22:00,3176.87,3177.43,3174.55,3175.97,
2024-11-13 05:23:00,3175.97,3177.58,3174.4,3176.33,
2024-11-13 05:24:00,3176.33,3181.85,3175.49,3181.46,
2024-11-13 05:25:00,3181.46,3181.94,3179.12,3181.59,
2024-11-13 05:26:00,3181.59,3181.74,3177.29,3178.52,
2024-11-13 05:27:00,3178.52,3180.0,3175.68,3175.68,
2024-11-13 05:28:00,3175.68,3181.36,3175.68,3181.15,
2024-11-13 05:29:00,3181.15,3181.17,3178.21,3178.82,
2024-11-13 05:30:00,3178.82,3182.4,3177.77,3179.92,
2024-11-13 05:31:00,3179.92,3180.62,3177.26,3177.89,
2024-11-13 05:32:00,3177.89,3178.7,3168.14,3170.12,
2024-11-13 05:33:00,3170.12,3171.97,3164.86,3166.54,
2024-11-13 05:34:00,3166.54,3169.99,3165.64,3166.55,
2024-11-13 05:35:00,3166.55,3167.53,3164.31,3165.09,
2024-11-13 05:36:00,3165.09,3166.9,3159.51,3159.82,
2024-11-13 05:37:00,3159.82,3162.13,3154.22,3161.98,
2024-11-13 05:38:00,3161.98,3168.43,3160.88,3166.62,
2024-11-13 05:39:00,3166.62,3170.75,3165.23,3170.36,
2024-11-13 05:40:00,3170.36,3170.66,3165.23,3166.86,
2024-11-13 05:41:00,3166.86,3167.49,3156.36,3157.47,
2024-11-13 05:42:00,3157.47,3165.95,3157.47,3165.33,
2024-11-13 05:43:00,3165.33,3165.99,3160.01,3161.23,
2024-11-13 05:44:00,3161.23,3161.24,3158.02,3158.26,
2024-11-13 05:45:00,3158.26,3159.98,3152.7,3153.73,
2024-11-13 05:46:00,3153.73,3156.09,3151.8,3153.26,
2024-11-13 05:47:00,3153.26,3156.44,3151.48,3152.0,
2024-11-13 05:48:00,3152.0,3152.57,3141.57,3145.4,
2024-11-13 05:49:00,3145.4,3146.92,3140.65,3141.21,
2024-11-13 05:50:00,3141.21,3141.6,3132.74,3137.32,
